Accession,Organism,SpeciesName,BioSampleAccession,BioProjectAccession,AssemblyName,AssemblyLevel,Submitter,ReleaseDate
AP008937.1,Limosilactobacillus fermentum IFO 3956 (firmicutes),Limosilactobacillus fermentum,SAMD00060917,,ASM1014v1,Complete Genome,,
AP017973.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMD00073748,,ASM235613v1,Complete Genome,,
AP017974.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMD00073748,,ASM235613v1,Complete Genome,,
AP024320.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMD00268105,,ASM1686195v1,Complete Genome,,
CP002033.1,Limosilactobacillus fermentum CECT 5716 (firmicutes),Limosilactobacillus fermentum,SAMN02604100,,ASM21051v1,Complete Genome,,
CP005958.1,Limosilactobacillus fermentum F-6 (firmicutes),Limosilactobacillus fermentum,SAMN02603935,,ASM39716v1,Complete Genome,,
CP011536.1,Limosilactobacillus fermentum 3872 (firmicutes),Limosilactobacillus fermentum,SAMN02314197,,ASM46678v3,Complete Genome,,
CP016803.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN04858206,,ASM224261v1,Complete Genome,,
CP017151.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN05510874,,ASM174220v1,Complete Genome,,
CP019030.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN06174220,,ASM194178v1,Complete Genome,,
CP021104.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN06703219,,ASM211964v1,Complete Genome,,
CP021790.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN07192734,,ASM219243v1,Complete Genome,,
CP021964.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN07224244,,ASM325587v1,Complete Genome,,
CP031195.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN05712721,,ASM334679v1,Complete Genome,,
CP033371.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN09701875,,ASM371022v1,Complete Genome,,
CP034099.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN10417155,,ASM385565v1,Complete Genome,,
CP034193.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN10484493,,ASM386042v1,Complete Genome,,
CP035054.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN10737529,,ASM406351v1,Complete Genome,,
CP035055.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN10738354,,ASM406363v1,Complete Genome,,
CP044354.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN12786154,,ASM880291v1,Complete Genome,,
CP045034.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN04531192,,ASM967662v1,Complete Genome,,
CP047584.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN13241836,,ASM1103276v1,Complete Genome,,
CP047585.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN13639333,,ASM1103274v1,Complete Genome,,
CP050919.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN14470504,,ASM1227303v1,Complete Genome,,
CP053312.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN14852229,,ASM4578617v1,Complete Genome,,
CP053314.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN14852287,,ASM4660398v1,Complete Genome,,
CP065522.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN16987128,,ASM1888420v1,Complete Genome,,
CP067088.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN17214540,,ASM1661769v1,Complete Genome,,
CP070858.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN17976243,,ASM1706831v1,Complete Genome,,
CP070935.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN18012621,,ASM5109493v1,Complete Genome,,
CP070948.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN18012614,,ASM5109484v1,Complete Genome,,
CP070999.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN17976238,,ASM1713433v1,Complete Genome,,
CP071000.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN17976237,,ASM1713435v1,Complete Genome,,
CP071001.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN17976236,,ASM1713437v1,Complete Genome,,
CP076082.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN18711544,,ASM1873224v1,Complete Genome,,
CP076446.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN19589998,,ASM1886626v1,Complete Genome,,
CP082359.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN21157785,,ASM1989087v1,Complete Genome,,
CP089305.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN23798833,,ASM2361219v1,Complete Genome,,
CP094655.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN26885050,,ASM2281924v1,Complete Genome,,
CP095385.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN27397806,,ASM2463793v1,Complete Genome,,
CP100352.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN29360653,,ASM2420462v1,Complete Genome,,
CP101688.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN29861940,,ASM2449450v1,Complete Genome,,
CP102532.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN29862209,,ASM2466519v1,Complete Genome,,
CP102714.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN29328592,,ASM2405425v2,Complete Genome,,
CP103293.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN08290293,,ASM286982v2,Complete Genome,,
CP103400.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN30472492,,ASM2480058v1,Complete Genome,,
CP110798.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN31580341,,ASM2618421v1,Complete Genome,,
CP116617.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN32634712,,ASM3259882v1,Complete Genome,,
CP116618.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN31826480,,ASM3259884v1,Complete Genome,,
CP116755.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN32317227,,ASM2846394v1,Complete Genome,,
CP117933.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN33228557,,ASM2874309v1,Complete Genome,,
CP118092.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN33275432,,ASM2901182v1,Complete Genome,,
CP119406.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN33591107,,ASM2922396v1,Complete Genome,,
CP119425.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN33591059,,ASM2922392v1,Complete Genome,,
CP120668.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN33777524,,ASM2953733v1,Complete Genome,,
CP121468.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN34044604,,ASM2969142v1,Complete Genome,,
CP124737.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN34045738,,ASM2996122v1,Complete Genome,,
CP127401.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN35673550,,ASM3029099v1,Complete Genome,,
CP128169.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN35436790,,ASM3029175v1,Complete Genome,,
CP131058.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN36507063,,ASM3066544v1,Complete Genome,,
CP132481.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN36918642,,ASM3077037v1,Complete Genome,,
CP132541.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN36813915,,ASM3084521v1,Complete Genome,,
CP136242.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN37669919,,ASM3678475v1,Complete Genome,,
CP139052.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN38273024,,ASM3404879v1,Complete Genome,,
CP139637.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN38512524,,ASM3432854v1,Complete Genome,,
CP141807.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN39190652,,ASM3562141v1,Complete Genome,,
CP145309.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN39171903,,ASM5104595v1,Complete Genome,,
CP157198.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN41279323,,ASM5162887v1,Complete Genome,,
CP157592.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN41127702,,ASM4953274v1,Complete Genome,,
CP157980.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN41611878,,ASM4023531v1,Complete Genome,,
CP158463.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN41829422,,ASM4026773v1,Complete Genome,,
CP160833.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN41941956,,ASM4079083v1,Complete Genome,,
CP165726.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN42955740,,ASM4120013v1,Complete Genome,,
CP170189.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN43359828,,ASM4243492v1,Complete Genome,,
CP171795.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN44355615,,ASM4395014v1,Complete Genome,,
CP172330.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN44468929,,ASM4433656v1,Complete Genome,,
CP176633.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN45063062,,ASM4660385v1,Complete Genome,,
CP184765.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN47234676,,ASM4883369v1,Complete Genome,,
CP188318.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN48115331,,ASM5003285v1,Complete Genome,,
CP193773.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN48802365,,ASM5084732v1,Complete Genome,,
CP197007.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN49816242,,ASM5190302v1,Complete Genome,,
CP199922.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN51334001,,ASM5278407v1,Complete Genome,,
NZ_AP024320.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMD00268105,,ASM1686195v1,Complete Genome,,
NZ_CP011536.1,Limosilactobacillus fermentum 3872 (firmicutes),Limosilactobacillus fermentum,SAMN02314197,,ASM46678v3,Complete Genome,,
NZ_CP016803.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN04858206,,ASM224261v1,Complete Genome,,
NZ_CP017151.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN05510874,,ASM174220v1,Complete Genome,,
NZ_CP019030.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN06174220,,ASM194178v1,Complete Genome,,
NZ_CP021104.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN06703219,,ASM211964v1,Complete Genome,,
NZ_CP021790.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN07192734,,ASM219243v1,Complete Genome,,
NZ_CP021964.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN07224244,,ASM325587v1,Complete Genome,,
NZ_CP031195.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN05712721,,ASM334679v1,Complete Genome,,
NZ_CP034099.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN10417155,,ASM385565v1,Complete Genome,,
NZ_CP034193.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN10484493,,ASM386042v1,Complete Genome,,
NZ_CP035054.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN10737529,,ASM406351v1,Complete Genome,,
NZ_CP035055.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN10738354,,ASM406363v1,Complete Genome,,
NZ_CP044354.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN12786154,,ASM880291v1,Complete Genome,,
NZ_CP045034.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN04531192,,ASM967662v1,Complete Genome,,
NZ_CP047584.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN13241836,,ASM1103276v1,Complete Genome,,
NZ_CP047585.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN13639333,,ASM1103274v1,Complete Genome,,
NZ_CP050919.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN14470504,,ASM1227303v1,Complete Genome,,
NZ_CP053312.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN14852229,,ASM4578617v1,Complete Genome,,
NZ_CP053314.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN14852287,,ASM4660398v1,Complete Genome,,
NZ_CP065522.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN16987128,,ASM1888420v1,Complete Genome,,
NZ_CP067088.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN17214540,,ASM1661769v1,Complete Genome,,
NZ_CP070858.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN17976243,,ASM1706831v1,Complete Genome,,
NZ_CP070935.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN18012621,,ASM5109493v1,Complete Genome,,
NZ_CP070948.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN18012614,,ASM5109484v1,Complete Genome,,
NZ_CP070999.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN17976238,,ASM1713433v1,Complete Genome,,
NZ_CP071000.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN17976237,,ASM1713435v1,Complete Genome,,
NZ_CP071001.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN17976236,,ASM1713437v1,Complete Genome,,
NZ_CP076082.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN18711544,,ASM1873224v1,Complete Genome,,
NZ_CP076446.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN19589998,,ASM1886626v1,Complete Genome,,
NZ_CP082359.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN21157785,,ASM1989087v1,Complete Genome,,
NZ_CP089305.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN23798833,,ASM2361219v1,Complete Genome,,
NZ_CP094655.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN26885050,,ASM2281924v1,Complete Genome,,
NZ_CP095385.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN27397806,,ASM2463793v1,Complete Genome,,
NZ_CP100352.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN29360653,,ASM2420462v1,Complete Genome,,
NZ_CP101688.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN29861940,,ASM2449450v1,Complete Genome,,
NZ_CP102532.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN29862209,,ASM2466519v1,Complete Genome,,
NZ_CP102714.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN29328592,,ASM2405425v2,Complete Genome,,
NZ_CP103293.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN08290293,,ASM286982v2,Complete Genome,,
NZ_CP103400.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN30472492,,ASM2480058v1,Complete Genome,,
NZ_CP110798.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN31580341,,ASM2618421v1,Complete Genome,,
NZ_CP116617.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN32634712,,ASM3259882v1,Complete Genome,,
NZ_CP116618.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN31826480,,ASM3259884v1,Complete Genome,,
NZ_CP116755.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN32317227,,ASM2846394v1,Complete Genome,,
NZ_CP117933.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN33228557,,ASM2874309v1,Complete Genome,,
NZ_CP118092.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN33275432,,ASM2901182v1,Complete Genome,,
NZ_CP119406.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN33591107,,ASM2922396v1,Complete Genome,,
NZ_CP119425.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN33591059,,ASM2922392v1,Complete Genome,,
NZ_CP120668.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN33777524,,ASM2953733v1,Complete Genome,,
NZ_CP121468.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN34044604,,ASM2969142v1,Complete Genome,,
NZ_CP124737.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN34045738,,ASM2996122v1,Complete Genome,,
NZ_CP127401.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN35673550,,ASM3029099v1,Complete Genome,,
NZ_CP128169.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN35436790,,ASM3029175v1,Complete Genome,,
NZ_CP131058.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN36507063,,ASM3066544v1,Complete Genome,,
NZ_CP132481.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN36918642,,ASM3077037v1,Complete Genome,,
NZ_CP132541.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN36813915,,ASM3084521v1,Complete Genome,,
NZ_CP136242.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN37669919,,ASM3678475v1,Complete Genome,,
NZ_CP139052.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN38273024,,ASM3404879v1,Complete Genome,,
NZ_CP139637.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN38512524,,ASM3432854v1,Complete Genome,,
NZ_CP141807.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN39190652,,ASM3562141v1,Complete Genome,,
NZ_CP145309.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN39171903,,ASM5104595v1,Complete Genome,,
NZ_CP157198.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN41279323,,ASM5162887v1,Complete Genome,,
NZ_CP157592.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN41127702,,ASM4953274v1,Complete Genome,,
NZ_CP157980.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN41611878,,ASM4023531v1,Complete Genome,,
NZ_CP158463.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN41829422,,ASM4026773v1,Complete Genome,,
NZ_CP160833.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN41941956,,ASM4079083v1,Complete Genome,,
NZ_CP165726.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN42955740,,ASM4120013v1,Complete Genome,,
NZ_CP171795.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN44355615,,ASM4395014v1,Complete Genome,,
NZ_CP176633.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN45063062,,ASM4660385v1,Complete Genome,,
NZ_CP184765.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN47234676,,ASM4883369v1,Complete Genome,,
NZ_CP188318.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN48115331,,ASM5003285v1,Complete Genome,,
NZ_CP193773.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN48802365,,ASM5084732v1,Complete Genome,,
NZ_CP199922.1,Limosilactobacillus fermentum (firmicutes),Limosilactobacillus fermentum,SAMN51334001,,ASM5278407v1,Complete Genome,,
